review_text,F,BR,AU,FI,IR,A,L,LF,MN,O,PE,SC,SE,US,PO
good,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
This app is exceptionally wonderful!,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Best online education and research AI app.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
very use full,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Best answer gives me,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Best app for perfect and required answer and also very quick with most accurate answers,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Brilliant as expected! Bravo, openai.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Not the outcome I was looking for,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Amazing! Must try first then everything is clear ❤️❤️❤️❤️ so helpful ❤️❤️❤️,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
this app is best and this ai is wonderful✨😍✨😍,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Good application, hoping it'll give extra features like creating photos and videos for us in future.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
😊😊😊,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ChatGPT has been an invaluable companion in my educational journey. Its knowledge and assistance have been instrumental in my learning, making complex topics easier to understand. I highly recommend it to anyone seeking educational support.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
very good work,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Best apps,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
one of the best AI,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
its outstanding i love to use this app,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I don't know why but when I use this my internet became slow and I can't use this app and Its daily problem that I face.sometimes if I make storys ai dosent even know which character is male or female umm if everyone refer Leo as girl is ok but I think Leo is a boy's name! And tae was also a boy's name but made it a girl!,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Excellent!!!!,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
There is no Bengali in the main language😞,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"exceptional, groundbreaking, inventive",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
finally an app!! (also first review give me a high five 🖐),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"wow amazing application, very good and helpful",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Excellent 👌,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
very awesome and helpful for the students .,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
mejhe bohot pasand aaya ye website I love this,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Excellent user friendly app for the office use, saving time and energy. Thank you ChatGPT",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
good no words,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Very helpful! Thank you so much now i'm less stress,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Please add text to speech. Let it use audio to communicate,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Excellent 👌,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Amazing and, Helpful app 👍.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
It's amazing app for new compitition world 🌎,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I can't believe how useful this is as a tool. The program is friendly and human seeming enough to have casual chats with but the real power lies in utilizing it as a tool to organize your thoughts and structure tasks in a productive step by step method while providing helpful advice and defining concepts and providing valuable information for any topics. I love this app and it has made me 1000x more productive especially creatively. thank you developers this is genuinely life changing.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Can't log in, keep on showing a login error",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"The side bar function is a bit to hard to navigate back because if your device is using a gesture navigation, and if you swipe back you'll exit the app. I think you need to add also a toggle.btn in the sidebar content that can be use to tap back. All in all, Smooth app.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
good,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
nice,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Fastest response time I have gotten from any platform for ChatGPT. Excellent build. No bugs yet!,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
