review_text,F,BR,AU,FI,IR,A,L,LF,MN,O,PE,SC,SE,US,PO
Make it like better with a giant pig bigger than king pig.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
These screens are small enough without crowding in more stuff.Tuck it in with the rest of the add ons I never use and please get it out of my face!,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Dear Rovio; If you absolutely must continue trying to squeeze dollars from your customers this way, at least have the decency to include an opt out for those like myself who are absolutely NOT going to spend an amount equal to what I paid for the app in the first place just to have some gimmicky and expendable in game item.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
App crashes when new power up notice pops up.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
It would be nice to have an update that didnt crash the app.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
App crashes with new release.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I have had no problems with any of the versions so far.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Please bring back the trajectory line or at least make it to where you can turn it on or off.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
This is not worth buying it will crash right from the beginning.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I will say you should make shock so close to the other buttons because I like to use the birds you provide.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
That needs to change,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Similarly every single app that gets updated to a beautiful, ios7 look is one I will not update.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
This should Really be fixed!,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
And you still cant upload videos!!,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Is it just me, or is anyone else having the problem where the app wont even open at all?",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
I need to save my photos.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ive never had any issues with it and have been a user for years.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The app doesnt work unless you have the iOS 7 update and not all devices have that update so they should really fix this.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
I now see that you must have IOS7 or better for the app.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Please, please give us the ability to rename files from this app.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ill rate 5 once you can view,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
I still cannot believe that the team at Dropbox STILL hasn?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sez needs software update but Apple sez software is uptodate.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
It would allow me to get work done on my phone and edit files on the go for projects.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Only thing is they need to offer better customized pricing for upgrade plans.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Please, please FIX this video upload issue.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"\nI would turn off automatic uploads, but i need my regular photos to upload.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Please please please these are easy changes...it used to be this way so make it go back!!!,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Please fix the syncing issues with the iPad app.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Trying to automate it would be good if it worked, but it doesnt. ,",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Why everything is so white?,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The pictures show a white background just like the iOS7 photo app.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"U Dropbox employers improved mostly everything, but in the app it should have the ability to rename files, whereas the web version can.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ask me if I would like to use background uploading only once and remember my preference dont pester me every time I open the app to turn that feature on.,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Ive been a loyal EN fan for years but just this week it  s frozen and after reinstalling on both my iPad and iPhone, it crashes each time I open it.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Holidays are here and Im a disorganized mess without EN!,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"For some reason, it doesnt quite feel user friendly to me just yet.",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
And its all available on iPad and iPhone.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Latest version crashes on launch on my iPad in iOS 7.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I need my notes!,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contacted Evernote support.....they are working on the fix.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
240 notes I cant see.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
It crashes all the time and the only way I can resolve is uninstall/reinstall the app.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The new version crashes on startup on my iPhone and iPad.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Deleting app and reinstalling does not work either.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The latest version crashes on launch for my iPhone 5s.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
This is the third update in 3 months that has crashed upon installation for me.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Just crashes.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Got the latest update and now it will not open on my phone.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Please fix this ASAP.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Now, it crashes when loading.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Please fix it!,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"The latest interface is substandard from a useability standpoint besides being ugly, and the latest version will not launch on my iPhone 5.",0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Do not update.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Latest update crashes every time on startup on 5S.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I count on Evernote for many things across many devices but now the app just crashes on my iPhone 5.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Please fix it or at least let us know you are working on this ,",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Latest update crashes!,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"If you are having problems with the latest Evernote update here  s the fix:\n\nIf you installed the latest update &amp; Evernote is still crashing:\n\nGo to Settings, Privacy, Contacts look for Evernote &amp; select OFF.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Just crashes shortly upon launch.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Evernote please fix ASAP ,",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I will not use a note application I cant trust not to lose my information.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Since IOS 7,2, it continues to crash upon opening.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"It let me down AT THE HOSPITAL where I needed Medication List, Healthcare Power of Attorney and Living Will.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Epic FAIL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Dont upgrade, newest version has a connectivity problem with wifi and wont open.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Even after clean install this app crashes over and over ;(\nGuys, please test updates before releasing them.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
How could this app fail so completely?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"They made it so complicated n difficult to use (it was a lot more easier few updates ago), I have no idea how to add a note.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
It wont remain open for more than 10 seconds before it crashes.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
\n\nDeletion and reinstallation of the app has yet to resolve the issue.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
App keeps freezing and then it crashes.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
But upon latest upgrade crashes on open.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Do not upgrade on iPad.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Very disappointed I cant access my info as premium user.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The newest update crashes repeatedly!,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Now I cant access any of my notes.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"After the latest upgrades, there were issues and now it crashes and I cannot access anything.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Please fix it!,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I have tried to delete and reinstall but that didnt fix the problem.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
New version crashes every time on iPhone 5.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Please get a fix out soon.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The new version did not crash in my hand because I deleted it in 5 min and went back to the old version by syncing with iTunes library on my PC.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
\nThe biggest problem for the new version is people like me having 30 notebooks and 80 tags have big trouble switching between notes.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"You have to tap several times between each switch.\n\nThe second problem is the ugly interface, probably for matching the ugly icons of iOS 7?",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
It crashes.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"mwingerski ,  If this development team focus on making the App WORK rather than always adding new features I might give this five stars \nNew features are totally worthless if I cant even open the app after it updates\nDon  t bother sending a support request from within the app because no one ever reads it even if you are a premium subscriber ,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Unable to sync' this is a past problem.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
\nThought I resolved problem when I uninstalled and reinstalled app on my iPhone.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Recent update causes Evernote on iOS to fail.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Whit screen of death...cant even use,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"I don  t have a problem paying for Premium, but not when it includes something so basic and essential that its a joke to have to pay for.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Where is your QA?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Update crashes all the time.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
